epoch,step,test_loss,train_loss,val_loss
0,49,,3.55707296837349e+28,
0,99,,nan,
0,149,,nan,
0,199,,nan,
0,249,,nan,
0,299,,nan,
0,349,,nan,
0,399,,nan,
0,449,,nan,
0,499,,nan,
0,549,,nan,
0,599,,nan,
0,649,,nan,
0,699,,nan,
0,749,,nan,
0,799,,nan,
0,849,,nan,
0,899,,nan,
0,949,,nan,
0,999,,nan,
0,1049,,nan,
0,1099,,nan,
0,1149,,nan,
0,1199,,nan,
0,1249,,nan,
0,1299,,nan,
0,1349,,nan,
0,1399,,nan,
0,1449,,nan,
0,1499,,nan,
0,1549,,nan,
0,1599,,nan,
0,1649,,nan,
0,1699,,nan,
0,1749,,nan,
0,1799,,nan,
0,1849,,nan,
0,1874,,,nan
1,1899,,nan,
1,1949,,nan,
1,1999,,nan,
1,2049,,nan,
1,2099,,nan,
1,2149,,nan,
1,2199,,nan,
1,2249,,nan,
1,2299,,nan,
1,2349,,nan,
1,2399,,nan,
1,2449,,nan,
1,2499,,nan,
1,2549,,nan,
1,2599,,nan,
1,2649,,nan,
1,2699,,nan,
1,2749,,nan,
1,2799,,nan,
1,2849,,nan,
1,2899,,nan,
1,2949,,nan,
1,2999,,nan,
1,3049,,nan,
1,3099,,nan,
1,3149,,nan,
1,3199,,nan,
1,3249,,nan,
1,3299,,nan,
1,3349,,nan,
1,3399,,nan,
1,3449,,nan,
1,3499,,nan,
1,3549,,nan,
1,3599,,nan,
1,3649,,nan,
1,3699,,nan,
1,3749,,nan,
1,3749,nan,,
